0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,cat
25,112,511,2,110,505,489,1,4280,1065,17,2812,5485,5064,216,139,3751,9,1449,8,1,529,2079,3,1,624,35,23,16,613,489,240,1136,347,944,4,2288,24,110,505,6,1,49,25,136,302,2,498,1,815,4,877,11,12,407,583,338,7,775,468,6,3122,5,182,3,160,2116,461,675,511,19,2838,8,676,280,698,2,216,38,205,803,2289,624,33,25,1,68,1,815,14,1041,22,8891,4,352,2416,17,590,19,1199,11,2265,1,49,1895,8,91,545,4,330,12,135,3248,313,8,85,216,4,815,6433,5122,2552,4,4814,44,450,1,284,43,3,4478,11,9,937,10,1,407,583,338,815,23,872,2486,101,1478,6,1,72,22,1,67,1,47,658,9,470,12,416,1,216,9,45,1840,2,367,34,41,7,605,105,50,19,1,802,580,189,6,4494,7848,27,1,192,25,146,1200,1208,8,1,8892,1723,3,8893,4,2,3293,2027,4,1863,489,676,1
736,5672,52,1,1186,7,467,6,1,1009,22,268,628,1,1300,394,130,490,1111,821,18,259,12,1274,227,6664,3695,160,4,1512,9282,2,532,3,2194,3649,7,1357,26,164,2,156,163,1,5204,17,3695,4,1512,821,90,1,1300,394,26,164,2,2262,2,1,5672,52,11,26,170,79,50,278,14,160,1,600,639,584,7,6664,521,820,3649,92,91,437,3491,35,1351,1,3067,3,416,7,344,130,44,1969,859,766,22,1,742,6,2062,38,230,1278,1009,6,1,203,197,318,1,227,600,736,23,16,2076,160,90,1,1300,394,2194,3649,9,6,1,137,338,6,1,68,24,10,2090,69,32,227,467,11,36,28,20,39,4605,6,1,6656,1050,60,50,3,140,6664,37,558,10,26,36,20,37,140,3016,8,303,1,4145,60,113,1127,1186,102,10,6,5,179,344,51,36,16,32,84,1166,52,10,60,1433,37,1940,102,10,15,36,20,39,2246,27,1,111,96,3
5972,1391,11,5,430,2,76,3,11,6,301,2810,3114,1869,42,230,620,1288,6,1120,201,4,387,42,192,1805,8,1,41,2,513,203,42,192,20,5852,3521,6,1,429,41,22,1,7772,10,1,139,37,39,6481,1260,3,5146,4,134,5519,2495,19,5,536,1,1378,700,1107,18,3447,5,419,3,351,65,234,11,13,11,14,371,8,5,403,2244,209,2160,1662,6,1996,351,1989,190,3,11,27,70,242,6,1,2810,182,49,870,4269,5,491,3005,6,2810,3114,994,6,889,124,28,2,7090,6,113,40,217,1,212,17,5972,14,5973,22,2810,7,4296,2649,224,357,46,262,61,53,91,137,3236,2567,128,65,234,2,5147,1665,8,1,133,7,8947,2810,3114,18,1880,5,202,1254,3,2244,6,42,405,351,41,2,513,203,65,234,11,974,5,638,927,17,1378,1007,2945,5148,2,1977,11,17,2450,101,499,1933,8,422,6,611,11,18,39,303,1933,8,2945,149,244,0
83,4,65,530,5501,5,3092,304,46,108,43,66,8672,8749,8,6881,46,703,2,730,6,1,72,14,4652,8,91,83,532,70,1063,25,421,146,163,1,1637,1,368,3,46,174,1,970,4,804,566,1651,44,5594,2,247,3297,8672,8673,2,1,123,282,18,39,460,6,98,4563,267,520,9970,13,29,2508,1,47,4068,3165,4,1090,29,36,16,32,985,29,23,1792,2591,114,3,1,9650,1063,1305,151,46,25,6,34,175,3,35,33,37,905,5,354,23,84,1033,16,507,3717,30,9970,13,30,9970,1,195,211,8,3,8673,21,5546,476,6,921,912,193,13,15,189,28,1586,1,47,293,2,16,32,5688,3,1084,6809,11,116,16,316,2,16,329,40,59,11,18,39,24,1305,11,7,136,28,19,632,2,4393,6,1,72,59,11,9,2,4393,8,1159,6,3663,823,56,258,26,170,11,7,5,9748,1012,22,74,2,78,14,5,95,635,525,30,9970,13,2
241,106,209,155,48,1,4444,18,787,1448,287,94,5,1492,462,3,1,68,120,1,6,34,47,400,5011,23,16,76,3,1,114,3149,786,6,287,93,19,6092,1727,2105,4,1213,2258,583,7,578,3,400,595,13,29,23,16,341,6672,2,2172,64,7997,2472,51,1189,38,1129,33,25,2746,1028,10,1,47,41,23,4613,6075,8,543,826,3,7997,786,1,2668,13,51,14,84,450,42,540,2,3532,1,3505,4,10,1517,14,613,2,287,93,19,6092,2,220,82,2,1,120,11,118,10,1,980,3,1,814,8,786,114,1253,22,1,3550,43,37,28,39,1362,1180,93,9655,814,2,595,103,191,1,1580,3,952,48,63,552,59,942,2429,2,856,21,113,378,104,1,405,14,28,2626,42,189,534,230,68,287,102,6092,2,94,1427,1,63,3,2329,654,2258,583,13,227,400,426,28,16,22,5,762,2,1,3265,10,5974,50,108,3,952,48,80,260,30,118,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,4292,3345,1,973,292,211,18,710,5,247,1639,15,515,352,273,1,147,58,28,135,1,111,253,121,1,379,12,575,13,673,90,1,147,370,2,1091,12,602,2,359,1,463,884,3304,22,627,2,491,1696,24,30,13,6,5,496,26,20,397,37,113,93,5144,4,26,88,28,553,10,909,30,273,306,118,51,14,28,50,3,2976,6,1,247,1,4137,787,819,7,4376,393,273,135,185,1029,30,273,2649,30,19,31,1029,224,65,656,30,7,496,13,1,958,147,18,39,303,32,980,12,1,560,3,1044,207,4,2505,804,61,1,429,145,11,118,1,107,147,23,16,2711,2,88,57,29,55,2,2063,321,27,1,560,10,274,1231,2,48,2
451,1,591,55,136,16,316,364,4974,218,10,25,236,6,1,49,76,484,233,6,2288,45,247,10,29,55,4807,1,591,1,5069,3,1410,2,1,468,1141,10,1,3091,14,28,333,2,32,933,22,56,5675,2946,4442,3091,1074,109,1,9346,2514,10,1,202,1505,2,5674,776,25,1456,54,12,5,2882,1589,12,1314,656,1,1304,2541,890,468,1123,364,1,218,3,5,139,259,8226,2,862,10,1,2741,5382,4,70,501,12,42,591,5002,1339,897,8228,323,3,4683,8229,10,1,3091,281,495,20,39,458,2,387,537,4,1410,6,1,374,43,2,1,121,12,125,530,15,13,1,591,116,176,84,1179,2,3261,501,2,48,46,23,28,16,1957,111,145,2273,1410,58,45,16,5,127,119,2,862,10,1,591,6170,380,6,1,2772,334,3,1,121,292,187,942,3091,941,49,1339,45,535,10,3072,1673,25,4947,221,8226,2719,2,1403,326,11,58,28,1108,52,2837,979,4
14,136,54,12,1,3135,3,5,403,346,6,382,592,7,1851,391,33,176,132,204,4,2281,4030,43,174,1,664,455,7,1161,519,5298,97,10,1,2041,18,40,153,2,88,6,203,13,805,1633,21,68,856,26,170,1,1269,3185,423,28,164,2,875,1,9614,4,9,364,5,1341,6,2289,1,381,486,13,9329,143,224,49,1633,8,4104,7142,283,1,214,9,512,5,908,266,225,71,24,51,25,136,76,925,52,2281,4,1,519,3,372,15,118,1,403,346,6,49,557,9,1337,2,20,5,1533,7496,12,72,3334,595,1,283,3,130,18,1227,381,557,12,553,21,210,1942,8,1,429,91,201,754,76,5718,2,2846,10,557,116,20,8877,6,5,247,1256,12,556,1,283,13,10,17,557,21,38,405,533,1193,36,346,2,42,125,922,539,66,83,187,4309,5919,1116,515,79,65,234,10,1,2855,3,4290,440,1193,4,440,1570,116,16,508,2,32,167,0
8,151,46,703,82,15,13,6,1168,2,5,1166,27,1119,41,200,838,2652,449,3851,52,925,61,1,289,162,7,494,4713,30,141,13,1405,14,1,79,1168,62,328,86,261,2,8087,11,4,150,2,48,592,7,20,5,3298,12,1,528,10,2608,62,1,528,10,87,62,150,26,55,69,899,62,56,26,472,80,62,12,34,1,1594,665,6,1174,14,10,1,4342,79,261,420,3,595,27,528,102,289,162,7,1418,4,1,188,4572,34,14,646,15,703,2,94,54,3,1,491,1472,12,1,188,15,118,22,1405,163,1445,21,544,48,3166,1,1179,8,82,178,60,29,189,28,2032,17,82,15,13,30,141,45,1620,1418,52,173,595,12,2636,4,42,1778,2322,4252,526,15,934,51,14,84,509,8,32,6793,3,1,175,326,2214,48,150,109,3,78,18,1257,6,588,34,9,1,111,238,663,51,14,5,385,430,3,5,9146,2525,2,1,525,15,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672,1310,3819,72,1672,1888,21,42,9175,1731,6,50,4,5,190,83,6,301,226,2,5,853,1,3483,1886,3,9176,4,1977,13,42,9176,521,1569,718,2,3806,482,27,5,3635,2577,159,6,382,24,270,1450,1805,3,2577,256,1,105,1773,1471,546,9177,2228,6,1,839,1,13,10,1,348,2253,37,1105,104,1268,372,4,9178,439,37,1227,537,160,1,853,118,10,1268,9179,439,4,7837,500,37,2136,2865,27,7252,47,786,6,32,1048,2,387,537,10,5625,1,148,3382,1707,759,6,1,2281,1569,2,2893,159,42,2576,533,149,837,244,1,853,9,40,3523,59,775,309,35,1847,10,1672,9,6,4378,24,358,13,1,853,189,1847,10,1,1672,1310,14,589,54,3,6513,11,2192,10,1,72,9,6,5,66,9180,214,366,13,1633,62,20,4061,6,1672,35,26,170,36,1264,21,1,283,3,130,0
